001002a8 TerminatedCString /lib64/ld-linux-x86-64.so.2
001015ba string-utf8 strncpy
001015c2 string-utf8 __stack_chk_fail
001015d3 string-utf8 fread
001015d9 string-utf8 exit
001015de string-utf8 msync
001015e4 string-utf8 setenv
001015eb string-utf8 strdup
001015f2 string-utf8 fcntl
001015f8 string-utf8 closedir
00101601 string-utf8 strrchr
00101609 string-utf8 unlink
00101610 string-utf8 munmap
00101617 string-utf8 ferror
0010161e string-utf8 fflush
00101625 string-utf8 memmove
0010162d string-utf8 memmem
00101634 string-utf8 clearerr
0010163d string-utf8 strtok
00101644 string-utf8 fopen
0010164a string-utf8 strndup
00101652 string-utf8 __isoc23_sscanf
00101662 string-utf8 flock
00101668 string-utf8 system
0010166f string-utf8 fork
00101674 string-utf8 strlen
0010167b string-utf8 getppid
00101683 string-utf8 __ctype_b_loc
00101691 string-utf8 __vasprintf_chk
001016a1 string-utf8 __memcpy_chk
001016ae string-utf8 strstr
001016b5 string-utf8 __vsprintf_chk
001016c4 string-utf8 wait
001016c9 string-utf8 __vfprintf_chk
001016d8 string-utf8 feof
001016dd string-utf8 __isoc23_strtol
001016ed string-utf8 __vsnprintf_chk
001016fd string-utf8 dup2
00101702 string-utf8 stdout
00101709 string-utf8 mkstemp
00101711 string-utf8 umask
00101717 string-utf8 optarg
0010171e string-utf8 realloc
00101726 string-utf8 execvp
0010172d string-utf8 strcat
00101734 string-utf8 utimes
0010173b string-utf8 __open_2
00101744 string-utf8 strcasecmp
0010174f string-utf8 optopt
00101756 string-utf8 malloc
0010175d string-utf8 pclose
00101764 string-utf8 __libc_start_main
00101776 string-utf8 execl
0010177c string-utf8 remove
00101783 string-utf8 stderr
0010178a string-utf8 fdopen
00101791 string-utf8 strncasecmp
0010179d string-utf8 __read_chk
001017a8 string-utf8 fts_read
001017b1 string-utf8 __ctype_tolower_loc
001017c5 string-utf8 tolower
001017cd string-utf8 __cxa_finalize
001017dc string-utf8 strchr
001017e3 string-utf8 popen
001017e9 string-utf8 ftell
001017ef string-utf8 strerror
001017f8 string-utf8 readdir
00101800 string-utf8 bcmp
00101805 string-utf8 getenv
0010180c string-utf8 calloc
00101813 string-utf8 memcmp
0010181a string-utf8 fclose
00101821 string-utf8 memset
00101828 string-utf8 __isoc23_strtoul
00101839 string-utf8 ioctl
0010183f string-utf8 fputc
00101845 string-utf8 waitpid
0010184d string-utf8 fputs
00101853 string-utf8 opterr
0010185a string-utf8 fts_open
00101863 string-utf8 opendir
0010186b string-utf8 toupper
00101873 string-utf8 access
0010187a string-utf8 memcpy
00101881 string-utf8 fileno
00101888 string-utf8 __readlink_chk
00101897 string-utf8 fwrite
0010189e string-utf8 __vprintf_chk
001018ac string-utf8 strcmp
001018b3 string-utf8 uname
001018b9 string-utf8 fseek
001018bf string-utf8 __errno_location
001018d0 string-utf8 abort
001018d6 string-utf8 getopt_long
001018e2 string-utf8 mmap
001018e7 string-utf8 pipe
001018ec string-utf8 strtok_r
001018f5 string-utf8 fstat
001018fb string-utf8 strncmp
00101903 string-utf8 libcrypto.so.3
00101912 string-utf8 libflashrom.so.1
00101923 string-utf8 libc.so.6
0010192d string-utf8 LIBFLASHROM_1.0
0010193d string-utf8 OPENSSL_3.0.0
0010194b string-utf8 GLIBC_2.8
00101955 string-utf8 GLIBC_2.33
00101960 string-utf8 GLIBC_2.14
0010196b string-utf8 GLIBC_2.34
00101976 string-utf8 GLIBC_2.4
00101980 string-utf8 GLIBC_2.38
0010198b string-utf8 GLIBC_2.7
00101995 string-utf8 GLIBC_2.3.4
001019a1 string-utf8 GLIBC_2.3
001019ab string-utf8 GLIBC_2.2.5
0012b000 string Show a bit of help (you're looking at it)
0012b036 string FATAL: %s: Unrecognized getopt output: %d 
0012b068 string  Usage: futility [options] COMMAND [args...]  This is the unified firmware utility, which will eventually replace most of the distinct verified boot tools formerly produced by the vboot_reference package.  When symlinked under the name of one of those previous tools, it should fully implement the original behavior. It can also be invoked directly as futility, followed by the original name as the first argument.  
0012b209 string Global options:    --vb1        Use only vboot v1.0 binary formats   --vb21       Use only vboot v2.1 binary formats   --debug      Be noisy about what's going on  
0012b2ae string version 1.0 
0012b2bb string version 2.1 
0012b2c8 string The following %scommands are built-in:  
0012b2f1 string  Use "futility help COMMAND" for more information.  
0012b326 string   %-20s %s 
0012b332 string %s - %s 
0012b33b string ##### LOG #####
0012b34b string /proc/%d/exe
0012b358 string CALLER:
0012b360 string /proc/%d/cwd
0012b372 string /proc/%d/cmdline
0012b383 string CMDLINE:
0012b38c string /tmp/futility.log
0012b39e string (NULL)
0012b3a5 string (EMPTY)
0012b3ad string Unable to unlock log file
0012b3c7 string run_command
0012b3d3 string "%s" ... 
0012b3dd string   argv[%d] = "%s" 
0012b3f0 string Create a keypair from an RSA .pem file
0012b417 string invalid version "%s" 
0012b42d string invalid id "%s" 
0012b43e string invalid hash_alg "%s" 
0012b455 string Unrecognized option 
0012b46a string do_create
0012b474 string ERROR: malloc() failed 
0012b491 string hash_alg
0012b49a string  Usage:  futility %s [options] <INFILE> [<BASENAME>] 
0012b4d0 string  Create a keypair from an RSA key (.pem file).  Options:    --version <number>          Key version (default %d)   --hash_alg <number>         Hashing algorithm to use: 
0012b57a string INVALID
0012b582 string  (default)
0012b58d string   --id <id>                   Identifier for this keypair (vb21 only)   --desc <text>               Human-readable description (vb21 only)  
0012b61d string Unable to open %s 
0012b630 string Unable to read RSA key from %s 
0012b650 string Unsupported sig algorithm in RSA key 
0012b677 string vbprivk
0012b67f string unable to write private key 
0012b69c string wrote %s 
0012b6a6 string couldn't extract the public key 
0012b6c7 string unable to write public key 
0012b6e3 string Error seeking in %s 
0012b6f8 string %s has a public key only. 
0012b713 string Unable to allocate the private key 
0012b737 string Unable to set the private key description 
0012b762 string Unable to allocate the public key 
0012b785 string Couldn't extract the public key 
0012b7a6 string Unable to unpack the public key blob 
0012b7cc string Unable to set pubkey description 
0012b800 string dump_fmap
0012b80a string Display FMAP contents from a firmware image
0012b836 string :xpFhH
0012b83d string %s: unrecognized switch: -%c 
0012b85b string %s: missing argument to -%c 
0012b878 string %s: can't open %s: %s 
0012b88f string %s: can't stat %s: %s 
0012b8a6 string %s: can't mmap %s: %s 
0012b8bd string hit at 0x%08x 
0012b8cc string %s: can't munmap %s: %s 
0012b8e5 string calloc failed
0012b8f3 string strdup failed
0012b901 string -entire flash-
0012b910 string ERROR: %s and %s overlap 
0012b92a string   %s: %#x - %#x 
0012b93b string Use more -h args to ignore this error 
0012b962 string # name                     start       end         size 
0012b99b string  WARNING: unused regions found. Use -H to see them 
0012b9cf string   // DUPLICATE
0012b9de string %-25s  %08x    %08x    %08x%s 
0012b9fd string   // gap in %s
0012ba0c string argument "%s" is bogus 
0012ba24 string fmap_signature   %s 
0012ba39 string fmap_version:    %d.%d 
0012ba51 string fmap_base:       0x%lx 
0012ba69 string fmap_size:       0x%08x (%d) 
0012ba87 string fmap_name:       %s 
0012ba9c string fmap_nareas:     %d 
0012bab1 string %s %d %d 
0012babb string 0x%08x:0x%08x %s 
0012bacd string area:            %d 
0012bae2 string area_offset:     0x%08x 
0012bafb string area_size:       0x%08x (%d) 
0012bb19 string area_name:       %s 
0012bb2e string %s: section %s has zero size 
0012bb4c string %s: section %s is larger than the image 
0012bb75 string %s: can't write %s: %s 
0012bb8d string saved as "%s" 
0012bb9c string dump_kernel_config
0012bbaf string Prints the kernel command line
0012bbce string Invalid --kloadaddr 
0012bbe3 string Expected argument after options 
0012bc04 string kloadaddr
0012bc0e string  Usage:  futility %s [--kloadaddr ADDRESS] KERNEL_PARTITION  
0012bc4c string Manipulate the Google Binary Block (GBB)
0012bc75 string gbb_utility
0012bc81 string Legacy name for `gbb` command
0012bca4 string ERROR: unrecognized option: -%c 
0012bcc5 string ERROR: unrecognized option (possibly "%s") 
0012bcf1 string ERROR: unrecognized option 
0012bd0d string ERROR: missing argument to -%c (%s) 
0012bd32 string ERROR: missing argument to -%c 
0012bd52 string ERROR: error while parsing options 
0012bd76 string  ERROR: missing input filename 
0012bd96 string ERROR: No GBB found in %s 
0012bdb1 string hardware_id: %s 
0012bdc2 string digest: 
0012bdcb string flags: 0x%08x 
0012bdda string  - exported root_key to file:
0012bdf8 string  - exported bmp_fv to file:
0012be14 string  - exported recovery_key to file:
0012be36 string  ERROR: missing new HWID value 
0012be56 string  ERROR: missing new flags value 
0012be77 string ERROR: can't malloc %li bytes: %s 
0012be9a string INTERNAL ERROR: No GBB found in outbuf 
0012bec2 string ERROR: null-terminated HWID exceeds capacity (%d) 
0012bef5 string ERROR: invalid flags value: %s 
0012bf15 string bmp_fv
0012bf1c string recovery_key
0012bf29 string successfully saved new image to:
0012bf4a string  ERROR: missing output filename 
0012bf6b string  ERROR: unable to parse creation spec (%s) 
0012bf97 string successfully created new GBB to:
0012bfb8 string :gsc:o:k:b:r:
0012bfca string output
0012bfd7 string recoverykey
0012bfe3 string  Usage:  futility %s [-g|-s|-c] [OPTIONS] bios_file [output_file]  GET MODE: -g, --get   (default)	Get (read) from bios_file, with following options:      --hwid          	Report hardware id (default).      --flags         	Report header flags.      --digest        	Report digest of hwid (>= v1.2)  -k, --rootkey=FILE  	File name to export Root Key.  -b, --bmpfv=FILE    	File name to export Bitmap FV.  -r  --recoverykey=FILE	File name to export Recovery Key.  SET MODE: -s, --set            	Set (write) to bios_file, with following options:  -o, --output=FILE   	New file name for ouptput.      --hwid=HWID     	The new hardware id to be changed.      --flags=FLAGS   	The new (numeric) flags value.  -k, --rootkey=FILE  	File name of new Root Key.  -b, --bmpfv=FILE    	File name of new Bitmap FV.  -r  --recoverykey=FILE	File name of new Recovery Key.  CREATE MODE: -c, --create=hwid_size,rootkey_size,bmpfv_size,recoverykey_size                      	Create a GBB blob by given size list. SAMPLE:   %s -g bios.bin   %s --set --hwid='New Model' -k key.bin bios.bin newbios.bin   %s -c 0x100,0x1000,0x03DE80,0x1000 gbb.blob  
0012c44e string ERROR: Unable to open %s for reading: %s 
0012c478 string ERROR: can't fstat %s: %s 
0012c493 string ERROR: Unable to read from %s: %s 
0012c4b6 string ERROR: Unable to close %s: %s 
0012c4da string ERROR: multiple GBB headers found 
0012c4fd string ERROR: Unable to open %s for writing: %s 
0012c527 string ERROR: Unable to write to %s: %s 
0012c549 string ERROR: file %s exceeds capacity (%u) 
0012c56f string ERROR: Read %zu/%li bytes from %s: %s 
0012c596 string  - import %s from %s: success 
0012c5b5 string ERROR: strdup() failed: %s 
0012c5d1 string ERROR: invalid creation parameter: "%s" 
0012c5fa string ERROR: can't malloc %zu bytes: %s 
0012c61d string Create RO verification structure
0012c63e string ERROR: %s: Could not parse ranges 
0012c661 string do_gscvd
0012c66a string ERROR: %s: Cannot parse Board ID '%s' 
0012c691 string ERROR: %s: Could not read %s 
0012c6af string ERROR: %s: Unrecognized option: -%c 
0012c6d4 string ERROR: %s: Unrecognized option: %s 
0012c6f8 string ERROR: %s: Missing argument to -%c 
0012c71c string ERROR: %s: Misformatted command line 
0012c742 string ERROR: %s: Missing --root_pub_key argument 
0012c76e string ERROR: %s: Missing --keyblock argument 
0012c796 string ERROR: %s: Missing --platform_priv argument 
0012c7c3 string ERROR: %s: Missing --board_id argument 
0012c7eb string ERROR: %s: Missing --ranges argument 
0012c811 string R:Gb:hk:p:r:
0012c81e string outfile
0012c826 string add_gbb
0012c82e string board_id
0012c837 string root_pub_key
0012c844 string platform_priv
0012c852 string ERROR: %s: Failed to allocate memory for ranges string copy! 
0012c890 string parse_ranges
0012c89d string ERROR: %s: Too many ranges! 
0012c8ba string ERROR: %s: Misformatted ranges string 
0012c8e1 string ERROR: %s: Ranges digest mismatch 
0012c904 string validate_gscvd
0012c913 string ERROR: %s: Sha256 mismatch 
0012c92f string ERROR: %s: Keyblock not signed by root key 
0012c95b string ERROR: %s: GVD not signed by platform key 
0012c986 string ERROR: %s: Incorrect gscvd magic %x 
0012c9ab string validate_gvd
0012c9b8 string ERROR: %s: Incorrect gscvd range count %d 
0012c9e3 string ERROR: %s: Incorrect gscvd fmap offset %x 
0012ca0e string ERROR: %s: Corrupted signature header in GVD 
0012ca3c string ERROR: %s: Corrupted root key header in GVD 
0012ca69 string ERROR: %s: Failed to init digest! 
0012ca8c string calculate_ranges_digest
0012caa4 string ERROR: %s: Failed to extend digest! 
0012cac9 string ERROR: %s: Failed to finalize digest! 
0012caf0 string ERROR: %s: Failed to unpack public key 
0012cb18 string validate_gvd_signature
0012cb2f string ERROR: %s: Failed to allocate workblock of %zd 
0012cb67 string validate_pubk_signature
0012cb7f string ERROR: %s: Failed to allocate workblock space %d 
0012cbb1 string ERROR: %s: Root and keyblock mismatch 
0012cbd8 string validate_privk
0012cbe7 string ERROR: %s: Public/private key N mismatch! 
0012cc12 string RO_GSCVD
0012cc1b string ERROR: %s: Could not find RO_GSCVD in the FMAP 
0012cc4b string load_ap_firmware
0012cc5c string ERROR: %s: Could not find a GBB area in the FMAP. 
0012cc8f string ERROR: %s: GBB is invalid. 
0012ccab string ERROR: %s: Unsupported GBB version. 
0012ccd0 string ERROR: %s: Weird GBB layout (HWID should come first) 
0012cd06 string ERROR: %s: Too many ranges, can't fit GBB! 
0012cd32 string WP_RO
0012cd38 string ERROR: %s: Could not find WP_RO in the FMAP 
0012cd65 string verify_ranges
0012cd73 string SI_ALL
0012cd7a string ERROR: %s: Range %#x..+%#x does not fit in WP_RO/SI_ALL 
0012cdb3 string ERROR: %s: Range %x..+%x overlaps with %x..+%zx 
0012cde4 string range_overlaps
0012cdf3 string ERROR: %s: Failed to allocate %zd bytes for gvd 
0012ce24 string create_gvd
0012ce2f string ERROR: %s: Failed to calculate signature 
0012ce59 string ERROR: %s: Inconsistent signature headers 
0012ce84 string ERROR: %s: GVD section does not fit, %zd > %d 
0012ceb3 string fill_gvd_area
0012cec1 string Root key body sha256 hash: 
0012cee2 string Replace the contents of specified FMAP areas
0012cf0f string do_load_fmap
0012cf1c string You must specify an input file and at least one AREA:file argument 
0012cf60 string Can't find an FMAP in %s 
0012cf7a string Can't find area "%s" in FMAP 
0012cf9c string area %s: can't open %s for reading: %s 
0012cfc4 string area %s: unexpected EOF on %s 
0012cfe3 string area %s: can't read from %s: %s 
0012d004 string Warning on area %s: only read %d (not %d) from %s 
0012d037 string area %s: error closing %s: %s 
0012d056 string Simulate a TPM PCR extension operation
0012d081 string do_pcr
0012d088 string You must extend at least one DIGEST 
0012d0ad string Error determining digest size! 
0012d0cd string PCR: 
0012d0d3 string    + 
0012d0d9 string Error computing digest! 
0012d0f2 string %sVboot API:           1.0 
0012d10e string %sAlgorithm:           %d %s 
0012d12c string %sKey Version:         %d 
0012d147 string %sKey sha1sum:         %s 
0012d162 string %s looks bogus 
0012d172 string Public Key file:       %s 
0012d18d string Private Key file:      %s 
0012d1a8 string   Vboot API:           1.0 
0012d1c4 string   Algorithm:           %u %s 
0012d1e2 string   Key sha1sum:         %s 
0012d1fd string %s is invalid 
0012d20c string %s keyblock component is invalid 
0012d22e string Error parsing data key in %s 
0012d24c string Firmware Preamble: 
0012d260 string   Size:                  %d 
0012d27d string   Header version:        %d.%d 
0012d29d string   Firmware version:      %d 
0012d2ba string   Kernel key algorithm:  %d %s 
0012d2da string   Kernel key version:    %d 
0012d2f7 string   Kernel key sha1sum:    %s 
0012d314 string   Firmware body size:    %d 
0012d331 string   Preamble flags:        %d 
0012d34e string Preamble requests USE_RO_NORMAL; skipping body verification. 
0012d38c string No firmware body available to verify. 
0012d3b3 string Body verification succeeded. 
0012d3d1 string Seems legit, but the signature is unverified. 
0012d400 string Kernel partition:        %s 
0012d41d string Kernel Preamble: 
0012d42f string   Size:                  %#x 
0012d44d string   Header version:        %u.%u 
0012d46d string   Kernel version:        %u 
0012d48a string   Body load address:     0x%lx 
0012d4aa string   Body size:             %#x 
0012d4c8 string   Bootloader address:    0x%lx 
0012d4e8 string   Bootloader size:       %#x 
0012d506 string   Vmlinuz_header address:    0x%lx 
0012d52a string   Vmlinuz header size:       %#x 
0012d54c string   Flags:                 %#x 
0012d56a string No kernel blob available to verify. 
0012d58f string Error verifying kernel body. 
0012d5ad string Config: %s 
0012d5b9 string Display the content of various binary components
0012d5ea string Verify the signatures of various binary components. This does not verify GSCVD contents.
0012d643 string Keyblock:                %s 
0012d660 string Keyblock: 
0012d66b string   Signature:             %s 
0012d688 string invalid
0012d690 string ignored
0012d698 string   Flags:                 %d 
0012d6b5 string  !DEV
0012d6c0 string  !REC
0012d6cb string  !MINIOS
0012d6d4 string  MINIOS
0012d6dc string   Data key algorithm:    %d %s 
0012d6fc string   Data key version:      %d 
0012d719 string   Data key sha1sum:      %s 
0012d736 string Error reading %s: %s 
0012d74c string Error unpacking %s 
0012d760 string Invalid --padding "%s" 
0012d778 string Invalid --type "%s" 
0012d78d string do_show
0012d795 string :f:k:t
0012d79c string publickey
0012d7aa string strict
0012d7b1 string  Usage:  futility %s [OPTIONS] FILE [...]  This is just an alias for    futility show --strict  
0012d81a string directory
0012d824 string character special
0012d83b string socket
0012d842 string /usr/share/vboot/devkeys
0012d85b string Public key looks bad. 
0012d872 string Unable to read PEM signing key: %s 
0012d896 string ft_sign_raw_kernel
0012d8a9 string kblob_size = %#x 
0012d8bb string vblock_size = %#x 
0012d8ce string FATAL: %s: create_new_outfile should be selected 
0012d900 string ft_sign_kern_preamble
0012d916 string Sign / resign various binary components
0012d93e string Invalid --version "%s" 
0012d956 string Error reading bootloader file: %s 
0012d979 string do_sign
0012d981 string bootloader file size=0x%lx 
0012d99d string Error reading config file: %s 
0012d9c0 string amd64
0012d9ca string aarch64
0012d9d7 string Unknown architecture: "%s" 
0012d9f3 string padding
0012d9fb string ro_size
0012da03 string rw_size
0012da0b string ro_offset
0012da15 string rw_offset
0012da1f string data_size
0012da29 string sig_size
0012da32 string Invalid --pem_algo "%s" 
0012da4b string type=%s 
0012da54 string Only one of --signprivate and --pem_signpriv can be specified 
0012da93 string --pem_algo must be used with --pem_signpriv 
0012dac0 string --pem_external must be used with --pem_signpriv 
0012daf1 string signprivate
0012dafd string kernelkey
0012db07 string bootloader
0012db17 string prikey
0012db1e string infile=%s 
0012db29 string sign_option.inout_file_count=%d 
0012db4a string sign_option.create_new_outfile=%d 
0012db6d string Missing output filename 
0012db86 string sign_option.outfile=%s 
0012db9e string ERROR: too many arguments left over 
0012dbc3 string Use --help for usage instructions 
0012dbe6 string :s:b:k:v:f:d:l:K:
0012dbf8 string loemdir
0012dc00 string loemid
0012dc07 string infile
0012dc0e string datapubkey
0012dc19 string pem_signpriv
0012dc26 string pem_algo
0012dc2f string pem_external
0012dc3c string vblockonly
0012dc4f string Invalid --%s "%s" 
0012dc62 string  Usage:  futility %s --type %s [options] INFILE [OUTFILE]  This signs a %s.  Data only mode This mode requires OUTFILE. The INFILE is a binary blob of arbitrary size. It is signed using the private key and the vb21_signature blob emitted.  Data + Signature mode If no OUTFILE is specified, the INFILE should contain an existing vb21_signature blob near its end. The data_size from that signature is used to re-sign a portion of the INFILE, and the old signature blob is replaced.  Key + Data + Signature mode This mode also takes no output file. If INFILE contains an FMAP, RW and signatures offsets are read from FMAP. These regions must be named EC_RW and SIG_RW respectively. If a public key is found in the region named KEY_RO, it will be replaced in the RO image. This mode also produces EC_RW.bin which is a EC_RW region image (same as the input file for 'Data + Signature mode').  Options:    --prikey      FILE.vbprik2      Private key in vb2 format. Required                                   if INFILE is a binary blob. If not                                   provided, previous signature is copied                                   and a public key won't be replaced.   --version     NUM               Public key version if we are replacing                                   the key in INFILE (default: 1)   --sig_size    NUM               Offset from the end of INFILE where the                                     signature blob should be located, if                                     the file does not contain an FMAP.                                     (default 1024 bytes)   --data_size   NUM               Number of bytes of INFILE to sign  
0012e2e1 string  Usage:  futility %s --type %s [options] INFILE [OUTFILE]  This signs a %s.  The INFILE is assumed to consist of equal-sized RO and RW sections, with the public key at the end of of the RO section and the signature at the end of the RW section (both in an opaque binary format). Signing the image will update both binary blobs, so both public and private keys are required.  The signing key is specified with:    --pem            FILE          Signing keypair in PEM format    --hash_alg       NUM           Hash algorithm to use: 
0012e4f5 string                                    %d / %s%s 
0012e523 string  The size and offset assumptions can be overridden. All numbers are in bytes. Specify a size of 0 to ignore that section.    --ro_size        NUM           Size of the RO section (default half)   --rw_size        NUM           Size of the RW section (default half)   --ro_offset      NUM           Start of the RO section (default 0)   --rw_offset      NUM           Start of the RW section (default half)  
0012e6bb string FATAL: %s: Keyset should never be NULL. Aborting 
0012e6ed string load_keyset
0012e6f9 string %s%s.%s
0012e701 string %s/%s.%s
0012e70a string firmware_data_key
0012e71c string kernel_subkey
0012e72a string kernel_data_key
0012e73a string FATAL: %s: Failed to allocate string 
0012e760 string INFO: %s: Loading private data key from default keyset: %s 
0012e79c string ERROR: %s: Error reading %s 
0012e7b9 string INFO: %s: Loading keyblock from default keyset: %s 
0012e7ed string vbpubk
0012e7f4 string INFO: %s: Loading kernel subkey from default keyset: %s 
0012e82d string Missing --%s option 
0012e842 string Update system firmware
0012e859 string hdvi:e:ta:m:p:
0012e868 string ERROR: %s: Sorry, --repack is only for the script. 
0012e89c string do_update
0012e8a6 string ERROR: %s: Invalid flags: %s 
0012e8c4 string raiden_debug_spi:target=AP
0012e8df string SERVOD_PORT
0012e8eb string ERROR: %s: Unrecognized option (possibly '%s') 
0012e91b string ERROR: %s: Unrecognized option. 
0012e93c string ERROR: %s: Failed parsing options. 
0012e960 string ERROR: %s: Unexpected arguments. 
0012e982 string >> Starting firmware updater. 
0012e9a1 string ERROR: %s: %s 
0012e9b0 string >> %s: Firmware updater %s. 
0012e9cd string FAILED
0012e9d9 string aborted
0012e9e1 string exits successfully
0012e9f4 string verbose
0012e9fc string ec_image
0012ea05 string programmer
0012ea10 string servo_port
0012ea1b string emulate
0012ea23 string factory
0012ea30 string force
0012ea36 string gbb_flags
0012ea40 string host_only
0012ea4a string list-quirks
0012ea56 string manifest
0012ea5f string output_dir
0012ea6a string pd_image
0012ea73 string repack
0012ea7a string sys_props
0012ea84 string noupdate_ec
0012ea90 string noupdate_pd
0012ea9c string nocheck_keys
0012eaa9 string update_main
0012eab5 string  Usage:  futility %s [OPTIONS]  Updates firmware in one of the following modes (default to recovery):   autoupdate:	Update RW[A|B], or recovery if RO changed.   recovery:  	Update RW[A&B], (RO, RO:GBB[keys] - if RO changed)   factory:   	Update RW[A&B],  RO, RO:GBB[keys,flags]  Note: firmware sections with PRESERVE flags like VPD and       HWID in GBB are always preserved.       GBB flags are preserved in autoupdate and recovery modes.  OPTIONS:  -i, --image=FILE    	AP (host) firmware image (image.bin) -e, --ec_image=FILE 	EC firmware image (i.e, ec.bin)     --pd_image=FILE 	PD firmware image (i.e, pd.bin) -t, --try           	Try A/B update on reboot if possible -a, --archive=PATH  	Read resources from archive     --unpack=DIR    	Extracts archive to DIR -p, --programmer=PRG	Change AP (host) flashrom programmer     --fast          	Reduce read cycles and do not verify     --quirks=LIST   	Specify the quirks to apply     --list-quirks   	Print all available quirks -m, --mode=MODE     	Run updater in the specified mode     --manifest      	Scan the archive to print a manifest in JSON   * If both --manifest and --fast are specified, the updater    will not scan the archive and simply dump the previously    cached manifest (may be out-dated) from the archive.  Legacy and compatibility options:     --factory       	Alias for --mode=factory     --force         	Force update (skip checking contents)     --output_dir=DIR	Specify the target for --mode=output  Debugging and testing options:     --wp=1|0        	Specify write protection status     --host_only     	Update only AP (host) firmware     --emulate=FILE  	Emulate system firmware using file     --model=MODEL   	Override system model for images     --gbb_flags=FLAG	Override new GBB flags     --ccd           	Do fast,force,wp=0,p=raiden_debug_spi     --servo         	Flash using Servo (v2, v4, micro, ...)     --servo_port=PRT	Override servod port, implies --servo     --signature_id=S	Override signature ID for key files     --sys_props=LIST	List of system properties to override -d, --debug         	Print debugging messages -v, --verbose       	Print verbose messages 
0012f31d string dut-control %s:%s
0012f333 string ERROR: %s: Failed to allocate memory, abort. 
0012f361 string prepare_servo_control
0012f377 string validate_rec_mrc
0012f388 string Validates content of Recovery MRC cache
0012f3b0 string Invalid --offset 
0012f3c2 string You must specify an input FILE! 
0012f3e3 string Unexpected arguments! 
0012f3fa string File size(%#x) smaller than offset(%#x) 
0012f423 string Metadata block error 
0012f439 string Offset or data size greater than file size: offset=%#x, file size=%#x, data_size=%#x 
0012f48f string  Usage:  futility %s FILE [OPTIONS] 
0012f4b4 string  Options: 
0012f4bf string  --offset <offset>          Offset of cache within FILE 
0012f4f8 string MRC cache is empty!! 
0012f50e string More than 1 valid metadata block!!
0012f531 string More than 1 slot in recovery mrc cache. 
0012f55a string Slot too small! 
0012f56b string MRC signature mismatch 
0012f583 string MRC signature match.. successful 
0012f5a5 string MRC cache size overflow 
0012f5be string MRC metadata header checksum mismatch 
0012f5e5 string MRC metadata header checksum.. verified! 
0012f60f string MRC data checksum mismatch 
0012f62b string MRC data checksum.. verified! 
0012f64a string vbutil_firmware
0012f65a string Verified boot firmware utility
0012f679 string Invalid --flags 
0012f68a string Must specify a mode. 
0012f6a0 string signpubkey
